"Date";"Infected";"Inpatients";"newICU";"ICU";"Death";"Vaccinated1";"Vaccinated2";"Vaccinated3"
2020-03-04;262;NA;NA;NA;0;NA;NA;NA
2020-03-05;400;NA;NA;NA;0;NA;NA;NA
2020-03-06;639;NA;NA;NA;0;NA;NA;NA
2020-03-07;795;NA;NA;NA;0;NA;NA;NA
2020-03-08;902;NA;NA;NA;0;NA;NA;NA
2020-03-09;1139;NA;NA;NA;2;NA;NA;NA
2020-03-10;1296;NA;NA;NA;2;NA;NA;NA
2020-03-11;1567;NA;NA;NA;3;NA;NA;NA
2020-03-12;2369;NA;NA;NA;5;NA;NA;NA
2020-03-13;3062;NA;NA;NA;5;NA;NA;NA
2020-03-14;3795;NA;NA;NA;8;NA;NA;NA
2020-03-15;4838;NA;NA;NA;12;NA;NA;NA
2020-03-16;6012;NA;NA;NA;12;NA;NA;NA
2020-03-17;7156;NA;NA;NA;12;NA;NA;NA
2020-03-18;8198;NA;NA;NA;12;NA;NA;NA
2020-03-19;10999;NA;NA;NA;20;NA;NA;NA
2020-03-20;13957;NA;NA;NA;31;NA;NA;NA
2020-03-21;16662;NA;NA;NA;47;NA;NA;NA
2020-03-22;18610;NA;NA;NA;55;NA;NA;NA
2020-03-23;22672;NA;NA;NA;86;NA;NA;NA
2020-03-24;27436;NA;NA;NA;114;NA;NA;NA
2020-03-25;31554;NA;NA;NA;149;NA;NA;NA
2020-03-26;36508;NA;NA;NA;198;NA;NA;NA
2020-03-27;42288;NA;NA;NA;253;NA;NA;NA
2020-03-28;48582;NA;NA;NA;325;NA;NA;NA
2020-03-29;52547;NA;NA;NA;389;NA;NA;NA
2020-03-30;57298;NA;NA;NA;455;NA;NA;NA
2020-03-31;61913;NA;NA;NA;583;NA;NA;NA
2020-04-01;67366;NA;NA;NA;732;NA;NA;NA
2020-04-02;73522;NA;NA;NA;872;NA;NA;NA
2020-04-03;79696;NA;NA;NA;1017;NA;NA;NA
2020-04-04;85778;NA;NA;NA;1158;NA;NA;NA
2020-04-05;91714;NA;NA;NA;1342;NA;NA;NA
2020-04-06;95391;NA;NA;NA;1434;NA;NA;NA
2020-04-07;99225;NA;NA;NA;1607;NA;NA;NA
2020-04-08;103228;NA;NA;NA;1861;NA;NA;NA
2020-04-09;108202;NA;NA;NA;2107;NA;NA;NA
2020-04-10;113525;NA;NA;NA;2373;NA;NA;NA
2020-04-11;117658;NA;NA;NA;2544;NA;NA;NA
2020-04-12;120479;NA;NA;NA;2673;NA;NA;NA
2020-04-13;123016;NA;NA;NA;2799;NA;NA;NA
2020-04-14;125098;NA;NA;NA;2969;NA;NA;NA
2020-04-15;127584;NA;NA;NA;3254;NA;NA;NA
2020-04-16;130450;NA;NA;NA;3569;NA;NA;NA
2020-04-17;133830;NA;NA;NA;3868;NA;NA;NA
2020-04-18;137439;NA;NA;NA;4110;NA;NA;NA
2020-04-19;139897;NA;NA;NA;4294;NA;NA;NA
2020-04-20;141672;NA;NA;NA;4404;NA;NA;NA
2020-04-21;143457;NA;NA;NA;4598;NA;NA;NA
2020-04-22;145694;NA;NA;NA;4879;NA;NA;NA
2020-04-23;148046;NA;NA;NA;5094;NA;NA;NA
2020-04-24;150383;NA;NA;NA;5321;NA;NA;NA
2020-04-25;152438;NA;NA;NA;5500;NA;NA;NA
2020-04-26;154175;NA;NA;NA;5640;NA;NA;NA
2020-04-27;155193;NA;NA;NA;5750;NA;NA;NA
2020-04-28;156337;NA;NA;NA;5913;NA;NA;NA
2020-04-29;157641;NA;NA;NA;6115;NA;NA;NA
2020-04-30;159119;NA;NA;NA;6288;NA;NA;NA
2020-05-01;160758;NA;NA;NA;6481;NA;NA;NA
2020-05-02;161703;NA;NA;NA;6575;NA;NA;NA
2020-05-03;162496;NA;NA;NA;6649;NA;NA;NA
2020-05-04;163175;NA;NA;NA;6692;NA;NA;NA
2020-05-05;163860;NA;NA;NA;6831;NA;NA;NA
2020-05-06;164807;NA;NA;NA;6996;NA;NA;NA
2020-05-07;166091;NA;NA;NA;7119;NA;NA;NA
2020-05-08;167300;NA;NA;NA;7266;NA;NA;NA
2020-05-09;168551;NA;NA;NA;7369;NA;NA;NA
2020-05-10;169218;NA;NA;NA;7395;NA;NA;NA
2020-05-11;169575;NA;NA;NA;7417;NA;NA;NA
2020-05-12;170508;NA;NA;NA;7533;NA;NA;NA
2020-05-13;171306;NA;NA;NA;7634;NA;NA;NA
2020-05-14;172239;NA;NA;NA;7723;NA;NA;NA
2020-05-15;173152;NA;NA;NA;7824;NA;NA;NA
2020-05-16;173722;NA;NA;NA;7881;NA;NA;NA
2020-05-17;174355;NA;NA;NA;7914;NA;NA;NA
2020-05-18;174697;NA;NA;NA;7935;NA;NA;NA
2020-05-19;175210;NA;NA;NA;8007;NA;NA;NA
2020-05-20;176007;NA;NA;NA;8090;NA;NA;NA
2020-05-21;176752;NA;NA;NA;8147;NA;NA;NA
2020-05-22;177212;NA;NA;NA;8174;NA;NA;NA
2020-05-23;177850;NA;NA;NA;8216;NA;NA;NA
2020-05-24;178281;NA;NA;NA;8247;NA;NA;NA
2020-05-25;178570;NA;NA;NA;8257;NA;NA;NA
2020-05-26;179002;NA;NA;NA;8302;NA;NA;NA
2020-05-27;179634;NA;NA;NA;8349;NA;NA;NA
2020-05-28;179717;NA;NA;NA;8411;NA;NA;NA
2020-05-29;180458;NA;NA;NA;8450;NA;NA;NA
2020-05-30;181196;NA;NA;NA;8489;NA;NA;NA
2020-05-31;181482;NA;NA;NA;8500;NA;NA;NA
2020-06-01;181815;NA;NA;NA;8511;NA;NA;NA
2020-06-02;182028;NA;NA;NA;8522;NA;NA;NA
2020-06-03;182370;NA;NA;NA;8551;NA;NA;NA
2020-06-04;182764;NA;NA;NA;8581;NA;NA;NA
2020-06-05;183271;NA;NA;NA;8613;NA;NA;NA
2020-06-06;183678;NA;NA;NA;8646;NA;NA;NA
2020-06-07;183979;NA;NA;NA;8668;NA;NA;NA
2020-06-08;184193;NA;NA;NA;8674;NA;NA;NA
2020-06-09;184543;NA;NA;NA;8711;NA;NA;NA
2020-06-10;184861;NA;NA;NA;8729;NA;NA;NA
2020-06-11;185416;NA;NA;NA;8755;NA;NA;NA
2020-06-12;185674;NA;NA;NA;8763;NA;NA;NA
2020-06-13;186022;NA;NA;NA;8781;NA;NA;NA
2020-06-14;186269;NA;NA;NA;8787;NA;NA;NA
2020-06-15;186461;NA;NA;NA;8791;NA;NA;NA
2020-06-16;186839;NA;NA;NA;8800;NA;NA;NA
2020-06-17;187184;NA;NA;NA;8830;NA;NA;NA
2020-06-18;187764;NA;NA;NA;8856;NA;NA;NA
2020-06-19;188534;NA;NA;NA;8872;NA;NA;NA
2020-06-20;189135;NA;NA;NA;8881;NA;NA;NA
2020-06-21;189822;NA;NA;NA;8882;NA;NA;NA
2020-06-22;190539;NA;NA;NA;8885;NA;NA;NA
2020-06-23;190862;NA;NA;NA;8895;NA;NA;NA
2020-06-24;191449;NA;NA;NA;8914;NA;NA;NA
2020-06-25;192079;NA;NA;NA;8927;NA;NA;NA
2020-06-26;192556;NA;NA;NA;8948;NA;NA;NA
2020-06-27;193243;NA;NA;NA;8954;NA;NA;NA
2020-06-28;193499;NA;NA;NA;8957;NA;NA;NA
2020-06-29;193761;NA;NA;NA;8961;NA;NA;NA
2020-06-30;194259;NA;NA;NA;8973;NA;NA;NA
2020-07-01;194725;NA;NA;NA;8985;NA;NA;NA
2020-07-02;195228;NA;NA;NA;8994;NA;NA;NA
2020-07-03;195674;NA;NA;NA;9003;NA;NA;NA
2020-07-04;196096;NA;NA;NA;9010;NA;NA;NA
2020-07-05;196335;NA;NA;NA;9012;NA;NA;NA
2020-07-06;196554;NA;NA;NA;9016;NA;NA;NA
2020-07-07;196944;NA;NA;NA;9024;NA;NA;NA
2020-07-08;197341;NA;NA;NA;9036;NA;NA;NA
2020-07-09;197783;NA;NA;NA;9048;NA;NA;NA
2020-07-10;198178;NA;NA;NA;9054;NA;NA;NA
2020-07-11;198556;NA;NA;NA;9060;NA;NA;NA
2020-07-12;198804;NA;NA;NA;9063;NA;NA;NA
2020-07-13;198963;NA;NA;NA;9064;NA;NA;NA
2020-07-14;199375;NA;NA;NA;9068;NA;NA;NA
2020-07-15;199726;NA;NA;NA;9071;NA;NA;NA
2020-07-16;200260;NA;NA;NA;9078;NA;NA;NA
2020-07-17;200843;NA;NA;NA;9082;NA;NA;NA
2020-07-18;201372;NA;NA;NA;9083;NA;NA;NA
2020-07-19;201574;NA;NA;NA;9084;NA;NA;NA
2020-07-20;201823;NA;NA;NA;9086;NA;NA;NA
2020-07-21;202345;NA;NA;NA;9090;NA;NA;NA
2020-07-22;202799;NA;NA;NA;9095;NA;NA;NA
2020-07-23;203368;NA;NA;NA;9101;NA;NA;NA
2020-07-24;204183;NA;NA;NA;9111;NA;NA;NA
2020-07-25;204964;NA;NA;NA;9118;NA;NA;NA
2020-07-26;205269;NA;NA;NA;9118;NA;NA;NA
2020-07-27;205609;NA;NA;NA;9118;NA;NA;NA
2020-07-28;206242;NA;NA;NA;9122;NA;NA;NA
2020-07-29;206926;NA;NA;NA;9128;NA;NA;NA
2020-07-30;207282;NA;NA;NA;9134;NA;NA;NA
2020-07-31;208698;NA;NA;NA;9141;NA;NA;NA
2020-08-01;209653;NA;NA;NA;9141;NA;NA;NA
2020-08-02;209893;NA;NA;NA;9141;NA;NA;NA
2020-08-03;210402;NA;NA;NA;9148;NA;NA;NA
2020-08-04;211281;NA;NA;NA;9156;NA;NA;NA
2020-08-05;212022;NA;NA;NA;9168;NA;NA;NA
2020-08-06;213067;NA;NA;NA;9175;NA;NA;NA
2020-08-07;214214;NA;NA;NA;9183;NA;NA;NA
2020-08-08;215336;NA;NA;NA;9195;NA;NA;NA
2020-08-09;215891;NA;NA;NA;9196;NA;NA;NA
2020-08-10;216327;NA;NA;NA;9197;NA;NA;NA
2020-08-11;217293;NA;NA;NA;9201;NA;NA;NA
2020-08-12;218519;NA;NA;NA;9207;NA;NA;NA
2020-08-13;219964;NA;NA;NA;9211;NA;NA;NA
2020-08-14;221413;NA;NA;NA;9225;NA;NA;NA
2020-08-15;222828;NA;NA;NA;9231;NA;NA;NA
2020-08-16;223453;NA;NA;NA;9231;NA;NA;NA
2020-08-17;224041;NA;NA;NA;9232;NA;NA;NA
2020-08-18;225404;NA;NA;NA;9236;NA;NA;NA
2020-08-19;226914;NA;NA;NA;9243;NA;NA;NA
2020-08-20;228621;NA;NA;NA;9253;NA;NA;NA
2020-08-21;230048;NA;NA;NA;9260;NA;NA;NA
2020-08-22;232082;NA;NA;NA;9267;NA;NA;NA
2020-08-23;232864;NA;NA;NA;9269;NA;NA;NA
2020-08-24;233575;NA;NA;NA;9272;NA;NA;NA
2020-08-25;234853;NA;NA;NA;9277;NA;NA;NA
2020-08-26;236429;NA;NA;NA;9280;NA;NA;NA
2020-08-27;237936;NA;NA;NA;9285;NA;NA;NA
2020-08-28;239507;NA;NA;NA;9288;NA;NA;NA
2020-08-29;240986;NA;NA;NA;9289;NA;NA;NA
2020-08-30;241771;NA;NA;NA;9295;NA;NA;NA
2020-08-31;242381;NA;NA;NA;9298;NA;NA;NA
2020-09-01;243599;NA;NA;NA;9302;NA;NA;NA
